Date,AMD,CSCO,INTC,INTU,NVDA
2018/8/17,19.77,41.373734,43.103691,202.907959,60.709007
2018/8/20,19.98,41.689426,42.554592,202.429703,61.457882
2018/8/21,20.4,41.292561,43.579575,204.00116,62.81678
2018/8/22,20.9,41.481976,43.057934,204.664825,65.172531
2018/8/23,22.290001,41.509029,42.993874,207.358688,66.169395
2018/8/24,23.98,41.779633,43.616177,211.438522,67.503494
2018/8/27,25.26,42.023163,44.247627,206.890198,68.416031
2018/8/28,25.049999,42.347878,44.448963,210.75528,68.039139
2018/8/29,25.200001,42.825928,44.613689,212.67807,69.096069
2018/8/30,24.889999,42.528278,44.146969,213.390579,68.927353
2018/8/31,25.17,43.087498,44.320843,214.210495,69.639435
2018/9/4,28.059999,43.051418,43.890717,215.450043,70.388733
2018/9/5,28.51,42.636513,43.671089,213.449142,69.078697
2018/9/6,27.84,42.645527,43.250111,214.591125,67.664459
2018/9/7,27.379999,42.438076,42.508839,215.040085,67.451103
2018/9/10,29.889999,42.456108,42.371574,219.334656,68.163193
2018/9/11,30.1,42.420033,41.117809,220.603516,67.684319
2018/9/12,32.209999,42.293758,41.117809,220.271637,66.543022
2018/9/13,30.48,42.609455,41.703506,222.321304,67.322083
2018/9/14,32.720001,42.753761,41.676048,222.087067,68.584961
2018/9/17,32.43,42.492191,41.566235,220.066666,67.964691
2018/9/18,31.93,42.807888,42.188541,222.711716,67.242676
2018/9/19,31.209999,42.645527,42.234295,215.5867,67.480896
2018/9/20,31.18,43.051418,43.19521,216.143005,66.066658
2018/9/21,31.02,43.800064,42.701023,215.157227,65.364494
2018/9/24,32.610001,43.691822,42.92981,213.654114,65.922729
2018/9/25,32.57,43.718884,42.01466,216.640823,66.5951
2018/9/26,32.189999,43.664764,41.822475,216.855499,66.225426
2018/9/27,32.59,43.592609,41.987206,217.480179,66.344528
2018/9/28,30.889999,43.881241,43.277573,221.950424,69.723785
2018/10/1,31.42,44.079674,42.508839,222.262756,71.793022
2018/10/2,29.02,44.205948,44.018837,222.165146,71.078468
2018/10/3,28.43,44.323212,44.622837,225.776443,71.14048
2018/10/4,27.780001,43.932739,44.046299,219.285828,69.294548
2018/10/5,27.35,43.705719,43.039631,216.982407,66.954872
2018/10/8,26.459999,43.151787,43.039631,212.13147,65.940117
